alpha,in_sample_r2,cv_r2,min_spend_coef,max_spend_coef,scenario_lift
1.0,0.7507480444248227,0.314227007386813,-13.007162042787469,24.23166406274618,8968954.09951754
10.0,0.7507448143107176,0.3149764907772472,-12.955569031030414,24.192065345880923,8931496.239995573
50.0,0.7506720840411452,0.31798978936834255,-12.736058371157176,24.023586313096043,8772125.830251206
100.0,0.7504689576514854,0.32112657737350425,-12.48229224967863,23.82881548481035,8587885.072047554
500.0,0.7468270588165444,0.3324730842810958,-11.024032978507753,22.709570545473028,7529151.226626607
